日付2,日付,始値,高値,安値,終値,出来高,調整後終値*
2024-01-02,2024年1月2日,187.15,188.44,183.89,185.64,82488674,185.64
2023-12-29,2023年12月29日,193.9,194.4,191.73,192.53,42672148,192.53
2023-12-28,2023年12月28日,194.14,194.66,193.17,193.58,34049898,193.58
2023-12-27,2023年12月27日,192.49,193.5,191.09,193.15,48087681,193.15
2023-12-26,2023年12月26日,193.61,193.89,192.83,193.05,28919310,193.05
2023-12-22,2023年12月22日,195.18,195.41,192.97,193.6,37149570,193.6
2023-12-21,2023年12月21日,196.1,197.08,193.5,194.68,46482549,194.68
2023-12-20,2023年12月20日,196.9,197.68,194.83,194.83,52242815,194.83
2023-12-19,2023年12月19日,196.16,196.95,195.89,196.94,40714051,196.94
2023-12-18,2023年12月18日,196.09,196.63,194.39,195.89,55751861,195.89
2023-12-15,2023年12月15日,197.53,198.4,197.0,197.57,128538401,197.57
2023-12-14,2023年12月14日,198.02,199.62,196.16,198.11,66831572,198.11
2023-12-13,2023年12月13日,195.09,198.0,194.85,197.96,70404183,197.96
2023-12-12,2023年12月12日,193.08,194.72,191.72,194.71,52696900,194.71
2023-12-11,2023年12月11日,193.11,193.49,191.42,193.18,60943699,193.18
2023-12-08,2023年12月8日,194.2,195.99,193.67,195.71,53406358,195.71
2023-12-07,2023年12月7日,193.63,195.0,193.59,194.27,47477655,194.27
2023-12-06,2023年12月6日,194.45,194.76,192.11,192.32,41089737,192.32
2023-12-05,2023年12月5日,190.21,194.4,190.18,193.42,66628398,193.42
2023-12-04,2023年12月4日,189.98,190.05,187.45,189.43,43389519,189.43
